Question	filter 1	filter 2	filter 3	Factor	Unit	Source
Grid carbon intensity				more info needed, spreadsheet linkage or other		
Annual Gas usage (gross)	LPG			0.21450	kg CO2e per kwh	defra 2026
	Natural Gas			0.18231	kg CO2e per kwh	
Electricity Usage (from grid)				0.13096	kg CO2e per kwh	defra 2026
Annual water usage				0.19130	kg CO2e per cubic meter	defra 2026
Mileage per week / Fuel Efficiency (mpg or mpkwh)	petrol	mini		0.21905	kg CO2e per mile	defra 2026
		supermini		0.26827	kg CO2e per mile	
		lower medium		0.2887	kg CO2e per mile	
		upper medium		0.32229	kg CO2e per mile	
		executive		0.33861	kg CO2e per mile	
		luxury		0.40663	kg CO2e per mile	
		sports		0.34670	kg CO2e per mile	
		dual purpose		0.39630	kg CO2e per mile	
		mpv		0.35918	kg CO2e per mile	
	diesel	mini		0.26825	kg CO2e per mile	defra 2026
		supermini		0.29348	kg CO2e per mile	
		lower medium		0.33141	kg CO2e per mile	
		upper medium		0.38283	kg CO2e per mile	
		executive		0.41318	kg CO2e per mile	
		luxury		0.63247	kg CO2e per mile	
		sports		0.47994	kg CO2e per mile	
		dual purpose		0.39589	kg CO2e per mile	
		mpv		0.36813	kg CO2e per mile	
	plug in hybrid	mini		N/A	kg CO2e per mile	defra 2026
		supermini		0.10444	kg CO2e per mile	
		lower medium		0.16451	kg CO2e per mile	
		upper medium		0.17849	kg CO2e per mile	
		executive		0.18067	kg CO2e per mile	
		luxury		0.24613	kg CO2e per mile	
		sports		0.31673	kg CO2e per mile	
		dual purpose		0.23103	kg CO2e per mile	
		mpv		0.20221	kg CO2e per mile	
	electric	mini		0.05305	kg CO2e per mile	defra 2026
		supermini		0.06023	kg CO2e per mile	
		lower medium		0.06111	kg CO2e per mile	
		upper medium		0.06725	kg CO2e per mile	
		executive		0.0589	kg CO2e per mile	
		luxury		0.07797	kg CO2e per mile	
		sports		0.10012	kg CO2e per mile	
		dual purpose		0.06749	kg CO2e per mile	
		mpv		0.07654	kg CO2e per mile	
number of flights in the last year	domestic	average		0.26278	kg CO2e per km	defra 2026
	short haul	economy		0.14825	kg CO2e per km	
		business		0.22236	kg CO2e per km	
	long haul	economy		0.14165	kg CO2e per km	
		premium economy		0.22663	kg CO2e per km	
		business		0.41077	kg CO2e per km	
		first class		0.56658	kg CO2e per km	
holidays	hotel			10.40000	kg CO2e per room per night	defra 2026
	airbnb uk			89% less	kg CO2e per room per night	intercom
	hotel (abroad)			more info needed (defra 2025)	kg CO2e per room per night	defra 2026
	air bnb (abroad)			89% (europe), 61% (N. America)	kg CO2e per room per night	intercom
	camping			negligible	kg CO2e per room per night	defra 2026
	homestay			negligible	kg CO2e per room per night	
diet	non red meat			0.987	kg CO2e per 100g serving	Our world in data
	red meat			9.948	kg CO2e per 100g serving	
waste	recycle			4.65358	kg CO2e per tonne	defra 2026
	non recycle			497.28993	kg CO2e per tonne	
	upcycle			negligible	kg CO2e per tonne	
food waste	bin			656.10991	kg CO2e per tonne	defra 2026
	compost			9.00687	kg CO2e per tonne	
spending	food (- meat)			0.813	kg CO2e per £ of expenditure	ONS family spending 2022
	eat out/takeaways			0.292	kg CO2e per £ of expenditure	defra conversion factors 2022
	soft drinks			0.565	kg CO2e per £ of expenditure	
	alcohol			0.929	kg CO2e per £ of expenditure	
	tobacco			0.833	kg CO2e per £ of expenditure	
	clothes			0.668	kg CO2e per £ of expenditure	
	soaps/detergents			0.834	kg CO2e per £ of expenditure	
	medicines			0.24	kg CO2e per £ of expenditure	
	electronics			0.507	kg CO2e per £ of expenditure	
	machinery/equipment			0.58	kg CO2e per £ of expenditure	
	education			0.136	kg CO2e per £ of expenditure	
	healthcare			0.214	kg CO2e per £ of expenditure	
	carehomes			0.143	kg CO2e per £ of expenditure	
	furniture			0.516	kg CO2e per £ of expenditure	
	other (services)			0.17	kg CO2e per £ of expenditure	
transport	train			0.472	kg CO2e per £ of expenditure	defra conversion factors 2022
	bus/taxi etc...			0.636	kg CO2e per £ of expenditure	
dog food	wet	premium	vegan	12.54	kg CO2e per kg of food	A.Knight (2023)
			meaty	50.37	kg CO2e per kg of food	V. Pedrinelli, et al. (2022)
		standard	vegan	5.45	kg CO2e per kg of food	A.Knight (2023)
			meaty	21.9	kg CO2e per kg of food	V. Pedrinelli, et al. (2022)
	dry	premium	vegan	1.72	kg CO2e per kg of food	A.Knight (2023)
			meaty	6.9	kg CO2e per kg of food	P. Alexander, et al. (2020)
		standard	vegan	0.75	kg CO2e per kg of food	A.Knight (2023)
			meaty	3	kg CO2e per kg of food	P. Alexander, et al. (2020)
cat food	wet	premium	vegan	9.16	kg CO2e per kg of food	A.Knight (2023)
			meaty	34.31	kg CO2e per kg of food	V. Pedrinelli, et al. (2022)
		standard	vegan	2.73	kg CO2e per kg of food	A.Knight (2023)
			meaty	10.22	kg CO2e per kg of food	V. Pedrinelli, et al. (2022)
	dry	premium	vegan	1.25	kg CO2e per kg of food	A.Knight (2023)
			meaty	4.7	kg CO2e per kg of food	P. Alexander, et al. (2020)
		standard	vegan	0.37	kg CO2e per kg of food	A.Knight (2023)
			meaty	1.4	kg CO2e per kg of food	P. Alexander, et al. (2020)
