Country	Unit	kg CO2e
Argentina	Room per night	
Australia	Room per night	35.00000
Austria	Room per night	
Belgium	Room per night	12.20000
Brazil	Room per night	8.70000
Canada	Room per night	7.40000
Chile	Room per night	27.60000
China	Room per night	53.50000
Colombia	Room per night	14.70000
Costa Rica	Room per night	4.70000
Czech Republic	Room per night	
Egypt	Room per night	44.20000
Fiji	Room per night	
Finland	Room per night	
France	Room per night	6.70000
Germany	Room per night	13.20000
Greece	Room per night	
Hong Kong, China	Room per night	51.50000
India	Room per night	58.90000
Indonesia	Room per night	62.70000
Ireland	Room per night	
Israel	Room per night	
Italy	Room per night	14.30000
Japan	Room per night	39.00000
Jordan	Room per night	68.90000
Kazakhstan	Room per night	
Korea	Room per night	55.80000
Macau, China	Room per night	
Malaysia	Room per night	61.50000
Maldives	Room per night	152.20000
Mexico	Room per night	19.30000
Netherlands	Room per night	14.80000
New Zealand	Room per night	
Oman	Room per night	90.30000
Panama	Room per night	
Peru	Room per night	
Philippines	Room per night	54.30000
Poland	Room per night	
Portugal	Room per night	19.00000
Qatar	Room per night	86.20000
Romania	Room per night	
Russian Federation	Room per night	24.20000
Saudi Arabia	Room per night	106.40000
Singapore	Room per night	24.50000
South Africa	Room per night	51.40000
Spain	Room per night	7.00000
Switzerland	Room per night	6.60000
Taiwan, China	Room per night	
Thailand	Room per night	43.40000
Turkey	Room per night	32.10000
United Arab Emirates	Room per night	63.80000
United States	Room per night	16.10000
Vietnam	Room per night	38.50000
