Country	distance_km	Haul definition	North America	Europe
Afghanistan	5731	Long Haul	No	No
Albania	1910	Short Haul	No	Yes
Algeria	1661	Short Haul	No	Yes
American Samoa	15788	Long Haul	No	No
Angola	6834	Long Haul	No	No
Anguilla	6547	Long Haul	Yes	No
Antigua and Barbuda	6559	Long Haul	Yes	No
Argentina	11110	Long Haul	Yes	No
Armenia	3636	Long Haul	No	Yes
Aruba	7512	Long Haul	Yes	No
Ascension Island	6739	Long Haul	No	No
Australia	17016	Long Haul	No	No
Austria	1256	Short Haul	No	Yes
Azerbaijan	3993	Long Haul	No	Yes
Bahamas	6966	Long Haul	Yes	No
Bahrain	5094	Long Haul	No	No
Bangladesh	8025	Long Haul	No	No
Barbados	6758	Long Haul	Yes	No
Belarus	1895	Short Haul	No	Yes
Belgium	342	Short Haul	No	Yes
Belize	8402	Long Haul	Yes	No
Benin	5022	Long Haul	No	No
Bermuda	5532	Long Haul	Yes	No
Bolivia	9979	Long Haul	Yes	No
Bosnia-Herzegovina	1637	Short Haul	No	Yes
Botswana	8848	Long Haul	No	No
Brazil	8774	Long Haul	Yes	No
British Virgin Islands	6636	Long Haul	Yes	No
Brunei	11283	Long Haul	No	No
Bulgaria	2034	Short Haul	No	Yes
Burkina Faso	4349	Long Haul	No	No
Burundi	6720	Long Haul	No	No
Cambodia	10040	Long Haul	No	No
Cameroon	5409	Long Haul	No	No
Canada	5342	Long Haul	Yes	No
Cape Verde	4553	Long Haul	No	No
Cayman Islands	7721	Long Haul	Yes	No
Central African Republic	5527	Long Haul	No	No
Chad	4595	Long Haul	No	No
Chile	11652	Long Haul	Yes	No
China	8159	Long Haul	No	No
Colombia	8468	Long Haul	Yes	No
Comoros	8184	Long Haul	No	No
Congo-Brazzaville	6376	Long Haul	No	No
Cook Islands	16204	Long Haul	No	No
Costa Rica	8705	Long Haul	Yes	No
Croatia	1357	Short Haul	No	Yes
Cuba	7471	Long Haul	Yes	No
Curacao	7472	Long Haul	Yes	No
Cyprus	3237	Short Haul	No	Yes
Czech Republic	1056	Short Haul	No	Yes
Denmark	977	Short Haul	No	Yes
Djibouti	5915	Long Haul	No	No
Dominica	6684	Long Haul	Yes	No
Dominican Republic	6996	Long Haul	Yes	No
DR Congo	6382	Long Haul	No	No
Ecuador	9205	Long Haul	Yes	No
Egypt	3528	Short Haul	No	Yes
El Salvador	8736	Long Haul	Yes	No
Equatorial Guinea	5375	Long Haul	No	No
Eritrea	5319	Long Haul	No	No
Estonia	1804	Short Haul	No	Yes
Ethiopia	5911	Long Haul	No	No
Falkland Islands	12670	Long Haul	Yes	No
Faroe Islands	1233	Short Haul	No	Yes
Fiji	16308	Long Haul	No	No
Finland	1840	Short Haul	No	Yes
France	352	Short Haul	No	Yes
French Guiana	7030	Long Haul	Yes	No
Gabon	5755	Long Haul	No	No
Gambia	4469	Long Haul	No	No
Georgia	3563	Long Haul	No	Yes
Germany	955	Short Haul	No	Yes
Ghana	5105	Long Haul	No	No
Gibraltar	1748	Short Haul	No	Yes
Greece	2410	Short Haul	No	Yes
Greenland	3235	Short Haul	Yes	Yes
Grenada	6991	Long Haul	Yes	No
Guadeloupe	6613	Long Haul	Yes	No
Guam	12055	Long Haul	No	No
Guatemala	8744	Long Haul	Yes	No
Guernsey	270	Domestic	No	Yes
Guinea	4816	Long Haul	No	No
Guinea-Bissau	4612	Long Haul	No	No
Guyana	7225	Long Haul	Yes	No
Haiti	7159	Long Haul	Yes	No
Honduras	8565	Long Haul	Yes	No
Hong Kong	9645	Long Haul	No	No
Hungary	1470	Short Haul	No	Yes
Iceland	1875	Short Haul	No	Yes
India	6734	Long Haul	No	No
Indonesia	11741	Long Haul	No	No
Iran	4421	Long Haul	No	No
Iraq	4111	Long Haul	No	No
Ireland	444	Short Haul	No	Yes
Isle Of Man	403	Domestic	No	Yes
Israel	3629	Long Haul	No	Yes
Italy	1448	Short Haul	No	Yes
Ivory Coast	5139	Long Haul	No	No
Jamaica	7514	Long Haul	Yes	No
Japan	9575	Long Haul	No	No
Jersey	278	Domestic	No	Yes
Jordan	3660	Long Haul	No	No
Kazakhstan	4786	Long Haul	No	No
Kenya	6833	Long Haul	No	No
Kosovo	1897	Short Haul	No	Yes
Kuwait	4663	Long Haul	No	No
Kyrgyzstan	5499	Long Haul	No	No
Laos	9323	Long Haul	No	No
Latvia	1698	Short Haul	No	Yes
Lebanon	3476	Long Haul	No	Yes
Lesotho	9390	Long Haul	No	No
Liberia	5113	Long Haul	No	No
Libya	2342	Short Haul	No	Yes
Lithuania	1745	Short Haul	No	Yes
Luxembourg	509	Short Haul	No	Yes
Macao	9619	Long Haul	No	No
Macedonia	1961	Short Haul	No	Yes
Madagascar	9107	Long Haul	No	No
Malawi	7994	Long Haul	No	No
Malaysia	10569	Long Haul	No	No
Maldives	8538	Long Haul	No	No
Mali	4370	Long Haul	No	No
Malta	2099	Short Haul	No	Yes
Marshall Islands	13457	Long Haul	No	No
Martinique	6723	Long Haul	Yes	No
Mauritania	3956	Long Haul	No	No
Mauritius	9748	Long Haul	No	No
Mexico	8909	Long Haul	Yes	No
Moldova	2170	Long Haul	No	Yes
Mongolia	6990	Long Haul	No	No
Montenegro	1793	Short Haul	No	Yes
Morocco	2008	Short Haul	No	Yes
Mozambique	9197	Long Haul	No	No
Myanmar	9000	Long Haul	No	No
Namibia	8408	Long Haul	No	No
Nepal	7356	Long Haul	No	No
Netherlands	380	Short Haul	No	Yes
New Caledonia	16578	Long Haul	No	No
New Zealand	18346	Long Haul	No	No
Nicaragua	8668	Long Haul	Yes	No
Niger	4227	Long Haul	No	No
Nigeria	4771	Long Haul	No	No
North Korea	8681	Long Haul	No	No
Norway	1169	Short Haul	No	Yes
Oman	5852	Long Haul	No	No
Pakistan	6054	Long Haul	No	No
Palau	12185	Long Haul	No	No
Panama	8471	Long Haul	Yes	No
Papua New Guinea	14493	Long Haul	No	No
Paraguay	10193	Long Haul	Yes	No
Peru	10146	Long Haul	Yes	No
Philippines	10756	Long Haul	No	No
Poland	1471	Short Haul	No	Yes
Portugal	1571	Short Haul	No	Yes
Puerto Rico	6736	Long Haul	Yes	No
Qatar	5234	Long Haul	No	No
Reunion	9705	Long Haul	No	No
Romania	2112	Short Haul	No	Yes
Russia	2523	Long Haul	No	Yes
Rwanda	6600	Long Haul	No	No
Sao Tome Islands	5725	Long Haul	No	No
Saudi Arabia	4964	Long Haul	No	No
Senegal	4352	Long Haul	No	No
Serbia	1712	Short Haul	No	Yes
Seychelles	8174	Long Haul	No	No
Sierra Leone	4920	Long Haul	No	No
Singapore	10871	Long Haul	No	No
Slovak Republic	1309	Short Haul	No	Yes
Slovenia	1248	Short Haul	No	Yes
Solomon Islands	15014	Long Haul	No	No
Somali Republic	6947	Long Haul	No	No
South Africa	9032	Long Haul	No	No
South Korea	8875	Long Haul	No	No
South Sudan	5968	Long Haul	No	No
Spain	1254	Short Haul	No	Yes
Sri Lanka	8734	Long Haul	No	No
St Kitts and Nevis	6603	Long Haul	Yes	No
St Lucia	6770	Long Haul	Yes	No
St Vincent and the Grenadines	6859	Long Haul	Yes	No
Sudan	4949	Long Haul	No	No
Surinam	7120	Long Haul	Yes	No
Swaziland	9185	Long Haul	No	No
Sweden	1452	Short Haul	No	Yes
Switzerland	762	Short Haul	No	Yes
Syria	3558	Long Haul	No	No
Tahiti	15368	Long Haul	No	No
Taiwan	9801	Long Haul	No	No
Tajikistan	5412	Long Haul	No	No
Tanzania	7276	Long Haul	No	No
Thailand	9556	Long Haul	No	No
Timor	13188	Long Haul	No	No
Togo	5043	Long Haul	No	No
Tonga	16612	Long Haul	No	No
Trinidad and Tobago	7100	Long Haul	Yes	No
Tunisia	1832	Short Haul	No	Yes
Turkey	2854	Short Haul	No	Yes
Turkmenistan	4744	Long Haul	No	No
Turks and Caicos Islands	6833	Long Haul	Yes	No
Uganda	6474	Long Haul	No	No
Ukraine	2156	Long Haul	No	Yes
United Arab Emirates	5494	Long Haul	No	No
United Kingdom	23	Domestic	No	Yes
United States	5878	Long Haul	Yes	No
Uruguay	11031	Long Haul	Yes	No
Uzbekistan	5256	Long Haul	No	No
Vanuatu	16135	Long Haul	No	No
Venezuela	7473	Long Haul	Yes	No
Vietnam	9257	Long Haul	No	No
Virgin Islands (U.S.A)	6665	Long Haul	Yes	No
Wake Islands	12048	Long Haul	No	No
Western Sahara	2908	Short Haul	No	No
Yemen	5630	Long Haul	No	No
Zambia	7942	Long Haul	No	No
Zimbabwe	8292	Long Haul	No	No

